CUDA available : True
GPU count      : 1
GPU name       : NVIDIA GeForce RTX 2080 Ti
▶ bike_sharing_demand  |  tier=S-medium
Rows=78,200  |  features=11  cats=7  →  catboost
[I 2025-07-19 20:57:55,390] Trial 0 finished with value: 3.0217445053670446 and parameters: {'lr': 0.030710573677773714, 'depth': 10, 'l2': 0.8471801418819978, 'bag': 0.5986584841970366, 'border': 66}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:01:20,029] Trial 1 finished with value: 36.70443779263363 and parameters: {'lr': 0.015957084694148364, 'depth': 4, 'l2': 2.9154431891537547, 'bag': 0.6011150117432088, 'border': 190}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:14:32,347] Trial 2 finished with value: 8.066125333565775 and parameters: {'lr': 0.010636066512540286, 'depth': 10, 'l2': 2.1368329072358767, 'bag': 0.21233911067827616, 'border': 72}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:19:59,640] Trial 3 finished with value: 21.069802943397388 and parameters: {'lr': 0.017322667470546258, 'depth': 6, 'l2': 0.12561043700013558, 'bag': 0.43194501864211576, 'border': 97}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:23:28,144] Trial 4 finished with value: 23.77466740393621 and parameters: {'lr': 0.06252287916406217, 'depth': 4, 'l2': 0.01474275315991467, 'bag': 0.3663618432936917, 'border': 134}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:27:58,681] Trial 5 finished with value: 12.078900960945992 and parameters: {'lr': 0.10508421338691762, 'depth': 5, 'l2': 0.11400863701127326, 'bag': 0.5924145688620425, 'border': 42}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:32:28,284] Trial 6 finished with value: 16.646948034950928 and parameters: {'lr': 0.061721159481070736, 'depth': 5, 'l2': 0.0018205657658407262, 'bag': 0.9488855372533332, 'border': 248}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:38:20,372] Trial 7 finished with value: 6.298431352015263 and parameters: {'lr': 0.11265466963346032, 'depth': 6, 'l2': 0.002458603276328005, 'bag': 0.6842330265121569, 'border': 130}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:45:07,435] Trial 8 finished with value: 16.83147434358452 and parameters: {'lr': 0.014413697528610409, 'depth': 7, 'l2': 0.0013726318898045872, 'bag': 0.9093204020787821, 'border': 89}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 21:50:46,936] Trial 9 finished with value: 8.50381782053408 and parameters: {'lr': 0.07277150634170934, 'depth': 6, 'l2': 0.12030178871154672, 'bag': 0.5467102793432796, 'border': 73}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 22:04:08,629] Trial 10 finished with value: 3.392146377439906 and parameters: {'lr': 0.030704733223969195, 'depth': 10, 'l2': 0.6087951913361183, 'bag': 0.017961875614819434, 'border': 35}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 22:17:42,414] Trial 11 finished with value: 3.4023242399157447 and parameters: {'lr': 0.030627158746419386, 'depth': 10, 'l2': 0.7082327860995202, 'bag': 0.08558506840798881, 'border': 32}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 22:28:04,421] Trial 12 finished with value: 4.33654405603466 and parameters: {'lr': 0.030787809291077356, 'depth': 9, 'l2': 0.5218639129602856, 'bag': 0.051919820305544435, 'border': 35}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 22:38:57,226] Trial 13 finished with value: 5.847005536667802 and parameters: {'lr': 0.034475920832030826, 'depth': 9, 'l2': 9.674020475535022, 'bag': 0.7872216920779328, 'border': 176}. Best is trial 0 with value: 3.0217445053670446.
[I 2025-07-19 22:47:24,566] Trial 14 finished with value: 8.475591553058143 and parameters: {'lr': 0.021599097580375436, 'depth': 8, 'l2': 0.6011955606105278, 'bag': 0.3026047451950724, 'border': 109}. Best is trial 0 with value: 3.0217445053670446.
