CUDA available: True
GPU count: 1
GPU name : NVIDIA GeForce RTX 2080 Ti
Sample 0: TabPFN=672511.687500, Tree=658672.006603, TabNet=620302.687500, Ensemble=650495.721966
Sample 100: TabPFN=188806.046875, Tree=179693.764326, TabNet=172860.546875, Ensemble=180462.527292
Sample 200: TabPFN=349519.312500, Tree=340055.268367, TabNet=327248.843750, Ensemble=338947.808523
Sample 300: TabPFN=263848.656250, Tree=261065.106531, TabNet=244252.125000, Ensemble=256384.288123
Sample 400: TabPFN=352001.687500, Tree=345291.597252, TabNet=331009.218750, Ensemble=342769.715057
Sample 500: TabPFN=270133.093750, Tree=270392.228349, TabNet=272923.687500, Ensemble=271150.540751
Sample 600: TabPFN=352466.781250, Tree=350231.845269, TabNet=350199.562500, Ensemble=350969.082673
Sample 700: TabPFN=303428.125000, Tree=274599.012172, TabNet=288071.187500, Ensemble=288745.102008
Sample 800: TabPFN=343867.437500, Tree=341162.665966, TabNet=323827.062500, Ensemble=336281.021411
Sample 900: TabPFN=231538.593750, Tree=226795.552552, TabNet=222772.921875, Ensemble=227040.187783
Sample 1000: TabPFN=765906.187500, Tree=697047.248161, TabNet=774812.125000, Ensemble=746052.934848
Sample 1100: TabPFN=266187.875000, Tree=273637.815169, TabNet=221733.953125, Ensemble=253818.024651
Sample 1200: TabPFN=281790.875000, Tree=287226.976755, TabNet=280925.437500, Ensemble=283304.003052
Sample 1300: TabPFN=270821.062500, Tree=277001.607307, TabNet=274087.687500, Ensemble=273960.317758
Saved predictions to: /work/dlclarge2/alidemaa-dl_lab/automl/automl-exam-ss25-tabular-freiburg-template/modelsFinal-exam/y_pred.csv
