iter	Passed	Remaining
0	13	138150
1	26	133649
2	39	131830
3	52	131404
4	65	131262
5	78	131157
6	92	132715
7	105	132223
8	119	132298
9	134	134062
10	148	134808
11	161	134370
12	175	135071
13	189	134855
14	202	134553
15	217	135550
16	230	135309
17	244	135768
18	257	135406
19	271	135500
20	285	135697
21	299	135792
22	312	135571
23	324	134793
24	338	134978
25	352	135296
26	366	135495
27	380	135659
28	395	136086
29	408	135836
30	422	135714
31	435	135544
32	448	135609
33	461	135289
34	475	135416
35	489	135349
36	503	135539
37	516	135471
38	531	135683
39	544	135638
40	558	135660
41	573	135933
42	588	136360
43	603	136484
44	616	136362
45	630	136417
46	645	136773
47	661	137098
48	674	137006
49	689	137289
50	705	137616
51	719	137563
52	734	137807
53	747	137696
54	763	137995
55	776	137935
56	789	137761
57	804	137868
58	818	137878
59	833	138099
60	846	137942
61	861	138137
62	875	138157
63	890	138302
64	904	138200
65	919	138350
66	932	138297
67	947	138447
68	961	138437
69	976	138466
70	990	138467
71	1002	138280
72	1016	138191
73	1030	138227
74	1044	138279
75	1057	138144
76	1070	138009
77	1086	138153
78	1100	138184
79	1113	138050
80	1127	138084
81	1141	138070
82	1156	138190
83	1170	138152
84	1184	138224
85	1201	138521
86	1217	138774
87	1232	138862
88	1247	138920
89	1261	138933
90	1276	139047
91	1290	139014
92	1304	138972
93	1318	138916
94	1333	139039
95	1347	139049
96	1362	139051
97	1376	139091
98	1390	139048
99	1404	139046
100	1418	139025
101	1432	139013
102	1447	139119
103	1462	139124
104	1477	139264
105	1491	139221
106	1507	139343
107	1521	139379
108	1535	139366
109	1549	139325
110	1563	139295
111	1577	139302
112	1590	139202
113	1605	139195
114	1621	139374
115	1635	139333
116	1648	139272
117	1661	139179
118	1674	139068
119	1689	139075
120	1704	139137
121	1718	139150
122	1733	139200
123	1747	139176
124	1763	139290
125	1777	139308
126	1790	139199
127	1804	139179
128	1819	139209
129	1832	139139
130	1847	139162
131	1860	139078
132	1873	138963
133	1885	138818
134	1900	138859
135	1914	138829
136	1928	138827
137	1943	138923
138	1957	138894
139	1972	138936
140	1986	138921
141	2000	138889
142	2014	138870
143	2027	138793
144	2042	138798
145	2055	138713
146	2069	138703
147	2083	138699
148	2096	138628
149	2109	138514
150	2125	138606
151	2139	138608
152	2153	138609
153	2167	138595
154	2181	138544
155	2196	138574
156	2209	138530
157	2224	138546
158	2238	138540
159	2252	138550
160	2265	138476
161	2280	138473
162	2293	138420
163	2308	138432
164	2322	138424
165	2335	138342
166	2349	138310
167	2365	138453
168	2379	138391
169	2392	138357
170	2405	138287
171	2419	138253
172	2433	138225
173	2448	138291
174	2463	138327
175	2477	138276
176	2491	138248
177	2505	138248
178	2518	138168
179	2533	138233
180	2547	138204
181	2562	138257
182	2575	138178
183	2588	138094
184	2603	138119
185	2617	138116
186	2631	138101
187	2646	138143
188	2659	138031
189	2674	138114
190	2688	138082
191	2703	138128
192	2717	138094
193	2733	138169
194	2748	138186
195	2762	138171
196	2776	138151
197	2790	138149
198	2803	138092
199	2816	138025
200	2831	138045
201	2844	137961
202	2857	137923
203	2874	138023
204	2889	138043
205	2903	138021
206	2916	137989
207	2931	138011
208	2945	137987
209	2960	138021
210	2975	138034
211	2988	137998
212	3002	137972
213	3016	137942
214	3029	137895
215	3045	137935
216	3060	137971
217	3074	137963
218	3088	137959
219	3102	137923
220	3116	137885
221	3129	137827
222	3143	137819
223	3158	137860
224	3171	137784
225	3186	137815
226	3200	137802
227	3214	137786
228	3228	137742
229	3240	137630
230	3253	137603
231	3265	137473
232	3276	137349
233	3290	137320
234	3305	137341
235	3320	137363
236	3334	137341
237	3349	137384
238	3363	137350
239	3376	137325
240	3390	137299
241	3403	137251
242	3415	137147
243	3429	137109
244	3443	137123
245	3458	137123
246	3470	137054
247	3485	137041
248	3498	137021
249	3512	136981
250	3524	136880
251	3539	136920
252	3553	136885
253	3567	136882
254	3581	136865
255	3595	136839
256	3608	136786
257	3622	136779
258	3636	136766
259	3650	136750
260	3666	136820
261	3680	136796
262	3694	136786
263	3707	136725
264	3721	136714
265	3735	136688
266	3749	136674
267	3761	136597
268	3775	136566
269	3790	136607
270	3804	136581
271	3820	136629
272	3834	136636
273	3848	136620
274	3863	136614
275	3875	136525
276	3890	136546
277	3902	136461
278	3915	136411
279	3931	136476
280	3945	136474
281	3957	136381
282	3972	136382
283	3984	136323
